label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held,sep_pct,sl_kind,sl_val,direction
sep 3.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.383,4541.83,4.54,0.3,-11.84,0.35,7.5697,41.033,-59.357,4,2,0,,0.0,6,66.7,4541.83,17.73,22.7,3.0,ATR,3.0,short only
sep 3.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.382,4540.73,4.54,0.3,-11.84,0.35,6.4868,41.033,-39.575,5,2,1,0.0,-1.09,6,66.7,4541.83,17.86,19.6,3.0,ATR,3.0,both
sep 5.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.382,4540.73,4.54,0.3,-11.84,0.35,6.4868,41.033,-39.575,5,2,1,0.0,-1.09,6,66.7,4541.83,17.86,19.6,5.0,ATR,3.0,both
sep 0.15% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.382,4540.73,4.54,0.3,-11.84,0.35,6.4868,41.033,-39.575,5,2,1,0.0,-1.09,6,66.7,4541.83,17.86,19.6,0.15,ATR,3.0,both
sep 0.5% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.382,4540.73,4.54,0.3,-11.84,0.35,6.4868,41.033,-39.575,5,2,1,0.0,-1.09,6,66.7,4541.83,17.86,19.6,0.5,ATR,3.0,both
sep 2.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.382,4540.73,4.54,0.3,-11.84,0.35,6.4868,41.033,-39.575,5,2,1,0.0,-1.09,6,66.7,4541.83,17.86,19.6,2.0,ATR,3.0,both
sep 1.0% / ATR 3.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.382,4540.73,4.54,0.3,-11.84,0.35,6.4868,41.033,-39.575,5,2,1,0.0,-1.09,6,66.7,4541.83,17.86,19.6,1.0,ATR,3.0,both
sep 5.0% / ATR 4.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.037,592.35,0.59,0.04,-15.51,0.08,0.9872,41.033,-79.104,4,2,0,,0.0,6,66.7,592.35,18.12,23.2,5.0,ATR,4.0,short only
sep 5.0% / ATR 4.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.037,591.25,0.59,0.04,-15.51,0.07,0.8446,41.033,-52.74,5,2,1,0.0,-1.09,6,66.7,592.35,18.25,20.0,5.0,ATR,4.0,both
sep 1.0% / ATR 4.0,1w,2012-01-02,2026-09-07,14.68,6,4,2,66.67,1.037,592.35,0.59,0.04,-15.51,0.08,0.9872,41.033,-79.104,4,2,0,,0.0,6,66.7,592.35,18.12,23.2,1.0,ATR,4.0,short only
sep 1.0% / ATR 4.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.037,591.25,0.59,0.04,-15.51,0.07,0.8446,41.033,-52.74,5,2,1,0.0,-1.09,6,66.7,592.35,18.25,20.0,1.0,ATR,4.0,both
