tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct
15m,both,0.75,1.0xATR,0.5,10.0,4248,0.565,False,,,,,,,
15m,both,0.75,1.0xATR,0.5,20.0,4280,0.589,False,,,,,,,
15m,both,0.75,1.0xATR,2.0,0.0,1983,0.645,False,,,,,,,
15m,both,0.75,1.0xATR,2.0,10.0,1949,0.614,False,,,,,,,
15m,both,0.75,1.0xATR,2.0,20.0,1981,0.65,False,,,,,,,
15m,both,0.75,2.0xATR,0.5,0.0,2916,0.695,False,,,,,,,
15m,both,0.75,2.0xATR,0.5,10.0,2894,0.673,False,,,,,,,
15m,both,0.75,2.0xATR,0.5,20.0,2917,0.693,False,,,,,,,
15m,both,0.75,2.0xATR,2.0,0.0,1338,0.748,False,,,,,,,
15m,both,0.75,2.0xATR,2.0,10.0,1315,0.718,False,,,,,,,
15m,both,0.75,2.0xATR,2.0,20.0,1339,0.745,False,,,,,,,
15m,both,0.75,3.0xATR,0.5,0.0,2399,0.732,False,,,,,,,
15m,both,0.75,3.0xATR,0.5,10.0,2383,0.715,False,,,,,,,
15m,both,0.75,3.0xATR,0.5,20.0,2399,0.733,False,,,,,,,
15m,both,0.75,3.0xATR,2.0,0.0,1096,0.762,False,,,,,,,
15m,both,0.75,3.0xATR,2.0,10.0,1080,0.739,False,,,,,,,
15m,both,0.75,3.0xATR,2.0,20.0,1096,0.764,False,,,,,,,
15m,both,0.75,3.0%,0.5,0.0,2033,0.727,False,,,,,,,
15m,both,0.75,3.0%,0.5,10.0,2007,0.706,False,,,,,,,
15m,both,0.75,3.0%,0.5,20.0,2031,0.73,False,,,,,,,
15m,both,0.75,3.0%,2.0,0.0,987,0.782,False,,,,,,,
15m,both,0.75,3.0%,2.0,10.0,961,0.753,False,,,,,,,
15m,both,0.75,3.0%,2.0,20.0,985,0.786,False,,,,,,,
15m,both,0.75,5.0%,0.5,0.0,1757,0.715,False,,,,,,,
15m,both,0.75,5.0%,0.5,10.0,1737,0.693,False,,,,,,,
15m,both,0.75,5.0%,0.5,20.0,1755,0.72,False,,,,,,,
15m,both,0.75,5.0%,2.0,0.0,826,0.792,False,,,,,,,
15m,both,0.75,5.0%,2.0,10.0,806,0.763,False,,,,,,,
15m,both,0.75,5.0%,2.0,20.0,824,0.799,False,,,,,,,
15m,both,1.0,1.0xATR,0.5,0.0,4157,0.569,False,,,,,,,
15m,both,1.0,1.0xATR,0.5,10.0,4124,0.552,False,,,,,,,
15m,both,1.0,1.0xATR,0.5,20.0,4155,0.572,False,,,,,,,
15m,both,1.0,1.0xATR,2.0,0.0,1956,0.612,False,,,,,,,
15m,both,1.0,1.0xATR,2.0,10.0,1923,0.585,False,,,,,,,
15m,both,1.0,1.0xATR,2.0,20.0,1954,0.617,False,,,,,,,
15m,both,1.0,2.0xATR,0.5,0.0,2738,0.681,False,,,,,,,
15m,both,1.0,2.0xATR,0.5,10.0,2719,0.661,False,,,,,,,
15m,both,1.0,2.0xATR,0.5,20.0,2739,0.679,False,,,,,,,
15m,both,1.0,2.0xATR,2.0,0.0,1306,0.714,False,,,,,,,
15m,both,1.0,2.0xATR,2.0,10.0,1285,0.69,False,,,,,,,
15m,both,1.0,2.0xATR,2.0,20.0,1307,0.711,False,,,,,,,
15m,both,1.0,3.0xATR,0.5,0.0,2205,0.717,False,,,,,,,
15m,both,1.0,3.0xATR,0.5,10.0,2193,0.703,False,,,,,,,
15m,both,1.0,3.0xATR,0.5,20.0,2205,0.718,False,,,,,,,
15m,both,1.0,3.0xATR,2.0,0.0,1055,0.735,False,,,,,,,
15m,both,1.0,3.0xATR,2.0,10.0,1042,0.716,False,,,,,,,
15m,both,1.0,3.0xATR,2.0,20.0,1055,0.737,False,,,,,,,
15m,both,1.0,3.0%,0.5,0.0,1850,0.704,False,,,,,,,
15m,both,1.0,3.0%,0.5,10.0,1826,0.687,False,,,,,,,
15m,both,1.0,3.0%,0.5,20.0,1848,0.706,False,,,,,,,
15m,both,1.0,3.0%,2.0,0.0,950,0.748,False,,,,,,,
15m,both,1.0,3.0%,2.0,10.0,925,0.726,False,,,,,,,
15m,both,1.0,3.0%,2.0,20.0,948,0.751,False,,,,,,,
15m,both,1.0,5.0%,0.5,0.0,1581,0.67,False,,,,,,,
15m,both,1.0,5.0%,0.5,10.0,1564,0.653,False,,,,,,,
15m,both,1.0,5.0%,0.5,20.0,1579,0.674,False,,,,,,,
15m,both,1.0,5.0%,2.0,0.0,783,0.737,False,,,,,,,
15m,both,1.0,5.0%,2.0,10.0,765,0.716,False,,,,,,,
15m,both,1.0,5.0%,2.0,20.0,781,0.743,False,,,,,,,
1h,long only,0.25,1.0xATR,0.5,0.0,508,0.665,False,,,,,,,
1h,long only,0.25,1.0xATR,0.5,10.0,452,0.643,False,,,,,,,
1h,long only,0.25,1.0xATR,0.5,20.0,503,0.654,False,,,,,,,
1h,long only,0.25,1.0xATR,2.0,0.0,364,0.682,False,,,,,,,
1h,long only,0.25,1.0xATR,2.0,10.0,308,0.665,False,,,,,,,
1h,long only,0.25,1.0xATR,2.0,20.0,359,0.671,False,,,,,,,
1h,long only,0.25,2.0xATR,0.5,0.0,425,0.763,False,,,,,,,
1h,long only,0.25,2.0xATR,0.5,10.0,387,0.604,False,,,,,,,
1h,long only,0.25,2.0xATR,0.5,20.0,422,0.707,False,,,,,,,
1h,long only,0.25,2.0xATR,2.0,0.0,291,0.798,False,,,,,,,
1h,long only,0.25,2.0xATR,2.0,10.0,253,0.627,False,,,,,,,
1h,long only,0.25,2.0xATR,2.0,20.0,288,0.736,False,,,,,,,
1h,long only,0.25,3.0xATR,0.5,0.0,387,0.688,False,,,,,,,
1h,long only,0.25,3.0xATR,0.5,10.0,353,0.564,False,,,,,,,
1h,long only,0.25,3.0xATR,0.5,20.0,384,0.635,False,,,,,,,
1h,long only,0.25,3.0xATR,2.0,0.0,260,0.718,False,,,,,,,
1h,long only,0.25,3.0xATR,2.0,10.0,226,0.586,False,,,,,,,
1h,long only,0.25,3.0xATR,2.0,20.0,257,0.659,False,,,,,,,
1h,long only,0.25,3.0%,0.5,0.0,406,0.645,False,,,,,,,
1h,long only,0.25,3.0%,0.5,10.0,359,0.572,False,,,,,,,
1h,long only,0.25,3.0%,0.5,20.0,401,0.634,False,,,,,,,
1h,long only,0.25,3.0%,2.0,0.0,288,0.654,False,,,,,,,
1h,long only,0.25,3.0%,2.0,10.0,241,0.578,False,,,,,,,
1h,long only,0.25,3.0%,2.0,20.0,283,0.643,False,,,,,,,
1h,long only,0.25,5.0%,0.5,0.0,360,0.734,False,,,,,,,
1h,long only,0.25,5.0%,0.5,10.0,322,0.592,False,,,,,,,
1h,long only,0.25,5.0%,0.5,20.0,356,0.689,False,,,,,,,
1h,long only,0.25,5.0%,2.0,0.0,248,0.729,False,,,,,,,
1h,long only,0.25,5.0%,2.0,10.0,210,0.579,False,,,,,,,
1h,long only,0.25,5.0%,2.0,20.0,244,0.683,False,,,,,,,
1h,long only,0.5,1.0xATR,0.5,0.0,486,0.681,False,,,,,,,
1h,long only,0.5,1.0xATR,0.5,10.0,434,0.672,False,,,,,,,
1h,long only,0.5,1.0xATR,0.5,20.0,484,0.664,False,,,,,,,
1h,long only,0.5,1.0xATR,2.0,0.0,349,0.67,False,,,,,,,
1h,long only,0.5,1.0xATR,2.0,10.0,297,0.654,False,,,,,,,
1h,long only,0.5,1.0xATR,2.0,20.0,347,0.651,False,,,,,,,
1h,long only,0.5,2.0xATR,0.5,0.0,384,0.772,False,,,,,,,
1h,long only,0.5,2.0xATR,0.5,10.0,352,0.697,False,,,,,,,
1h,long only,0.5,2.0xATR,0.5,20.0,382,0.767,False,,,,,,,
1h,long only,0.5,2.0xATR,2.0,0.0,261,0.78,False,,,,,,,
1h,long only,0.5,2.0xATR,2.0,10.0,229,0.696,False,,,,,,,
1h,long only,0.5,2.0xATR,2.0,20.0,259,0.775,False,,,,,,,
1h,long only,0.5,3.0xATR,0.5,0.0,343,0.694,False,,,,,,,
1h,long only,0.5,3.0xATR,0.5,10.0,315,0.672,False,,,,,,,
1h,long only,0.5,3.0xATR,0.5,20.0,341,0.694,False,,,,,,,
1h,long only,0.5,3.0xATR,2.0,0.0,227,0.7,False,,,,,,,
1h,long only,0.5,3.0xATR,2.0,10.0,199,0.678,False,,,,,,,
1h,long only,0.5,3.0xATR,2.0,20.0,225,0.701,False,,,,,,,
1h,long only,0.5,3.0%,0.5,0.0,370,0.659,False,,,,,,,
1h,long only,0.5,3.0%,0.5,10.0,325,0.628,False,,,,,,,
1h,long only,0.5,3.0%,0.5,20.0,366,0.679,False,,,,,,,
1h,long only,0.5,3.0%,2.0,0.0,262,0.656,False,,,,,,,
1h,long only,0.5,3.0%,2.0,10.0,217,0.621,False,,,,,,,
1h,long only,0.5,3.0%,2.0,20.0,258,0.678,False,,,,,,,
1h,long only,0.5,5.0%,0.5,0.0,313,0.765,False,,,,,,,
1h,long only,0.5,5.0%,0.5,10.0,278,0.724,False,,,,,,,
1h,long only,0.5,5.0%,0.5,20.0,310,0.765,False,,,,,,,
1h,long only,0.5,5.0%,2.0,0.0,214,0.757,False,,,,,,,
1h,long only,0.5,5.0%,2.0,10.0,179,0.709,False,,,,,,,
1h,long only,0.5,5.0%,2.0,20.0,211,0.758,False,,,,,,,
1h,long only,0.75,1.0xATR,0.5,0.0,475,0.799,False,,,,,,,
1h,long only,0.75,1.0xATR,0.5,10.0,429,0.774,False,,,,,,,
1h,long only,0.75,1.0xATR,0.5,20.0,473,0.773,False,,,,,,,
1h,long only,0.75,1.0xATR,2.0,0.0,341,0.788,False,,,,,,,
1h,long only,0.75,1.0xATR,2.0,10.0,295,0.756,False,,,,,,,
1h,long only,0.75,1.0xATR,2.0,20.0,339,0.759,False,,,,,,,
1h,long only,0.75,2.0xATR,0.5,0.0,363,0.814,False,,,,,,,
1h,long only,0.75,2.0xATR,0.5,10.0,335,0.754,False,,,,,,,
1h,long only,0.75,2.0xATR,0.5,20.0,361,0.802,False,,,,,,,
1h,long only,0.75,2.0xATR,2.0,0.0,250,0.804,False,,,,,,,
1h,long only,0.75,2.0xATR,2.0,10.0,222,0.733,False,,,,,,,
1h,long only,0.75,2.0xATR,2.0,20.0,248,0.79,False,,,,,,,
1h,long only,0.75,3.0xATR,0.5,0.0,310,0.775,False,,,,,,,
1h,long only,0.75,3.0xATR,0.5,10.0,289,0.761,False,,,,,,,
1h,long only,0.75,3.0xATR,0.5,20.0,308,0.769,False,,,,,,,
1h,long only,0.75,3.0xATR,2.0,0.0,205,0.769,False,,,,,,,
1h,long only,0.75,3.0xATR,2.0,10.0,184,0.751,False,,,,,,,
1h,long only,0.75,3.0xATR,2.0,20.0,203,0.762,False,,,,,,,
1h,long only,0.75,3.0%,0.5,0.0,346,0.747,False,,,,,,,
1h,long only,0.75,3.0%,0.5,10.0,304,0.73,False,,,,,,,
1h,long only,0.75,3.0%,0.5,20.0,342,0.768,False,,,,,,,
1h,long only,0.75,3.0%,2.0,0.0,249,0.731,False,,,,,,,
1h,long only,0.75,3.0%,2.0,10.0,207,0.707,False,,,,,,,
1h,long only,0.75,3.0%,2.0,20.0,245,0.754,False,,,,,,,
1h,long only,0.75,5.0%,0.5,0.0,281,0.861,False,,,,,,,
1h,long only,0.75,5.0%,0.5,10.0,252,0.82,False,,,,,,,
1h,long only,0.75,5.0%,0.5,20.0,278,0.855,False,,,,,,,
1h,long only,0.75,5.0%,2.0,0.0,192,0.848,False,,,,,,,
1h,long only,0.75,5.0%,2.0,10.0,163,0.797,False,,,,,,,
1h,long only,0.75,5.0%,2.0,20.0,189,0.841,False,,,,,,,
1h,long only,1.0,1.0xATR,0.5,0.0,466,0.848,False,,,,,,,
1h,long only,1.0,1.0xATR,0.5,10.0,421,0.852,False,,,,,,,
1h,long only,1.0,1.0xATR,0.5,20.0,464,0.822,False,,,,,,,
1h,long only,1.0,1.0xATR,2.0,0.0,339,0.842,False,,,,,,,
1h,long only,1.0,1.0xATR,2.0,10.0,294,0.844,False,,,,,,,
1h,long only,1.0,1.0xATR,2.0,20.0,337,0.812,False,,,,,,,
1h,long only,1.0,2.0xATR,0.5,0.0,352,0.852,False,,,,,,,
1h,long only,1.0,2.0xATR,0.5,10.0,326,0.803,False,,,,,,,
1h,long only,1.0,2.0xATR,0.5,20.0,350,0.84,False,,,,,,,
1h,long only,1.0,2.0xATR,2.0,0.0,247,0.856,False,,,,,,,
1h,long only,1.0,2.0xATR,2.0,10.0,221,0.802,False,,,,,,,
1h,long only,1.0,2.0xATR,2.0,20.0,245,0.844,False,,,,,,,
1h,long only,1.0,3.0xATR,0.5,0.0,296,0.815,False,,,,,,,
1h,long only,1.0,3.0xATR,0.5,10.0,277,0.816,False,,,,,,,
1h,long only,1.0,3.0xATR,0.5,20.0,294,0.81,False,,,,,,,
1h,long only,1.0,3.0xATR,2.0,0.0,202,0.83,False,,,,,,,
