timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
5m,3.0,both,ATR,3.0,678,34.37,0.567,-42300.61,-0.6239,162,34.57,0.689,-4683.76,-0.2891
5m,3.0,long only,ATR,3.0,365,35.89,0.569,-24849.13,-0.6808,89,38.2,0.69,-2765.62,-0.3107
5m,3.0,short only,ATR,3.0,313,32.59,0.564,-17451.47,-0.5576,73,30.14,0.688,-1918.14,-0.2628
5m,3.0,both,ATR,4.0,604,42.05,0.569,-41912.01,-0.6939,154,42.86,0.679,-5190.61,-0.3371
5m,3.0,long only,ATR,4.0,327,42.51,0.564,-25033.21,-0.7655,84,46.43,0.706,-2737.73,-0.3259
5m,3.0,short only,ATR,4.0,277,41.52,0.577,-16878.79,-0.6093,70,38.57,0.642,-2452.89,-0.3504
5m,5.0,both,Percent,0.625,316,10.13,0.645,-7776.52,-0.2461,27,11.11,0.452,-960.84,-0.3559
5m,5.0,long only,Percent,0.625,214,7.94,0.53,-7201.1,-0.3365,22,9.09,0.367,-924.88,-0.4204
5m,5.0,short only,Percent,0.625,102,14.71,0.913,-575.43,-0.0564,5,20.0,0.877,-35.96,-0.0719
5m,5.0,both,Percent,1.5,240,20.42,0.628,-11683.51,-0.4868,21,33.33,0.906,-212.01,-0.101
5m,5.0,long only,Percent,1.5,162,19.14,0.59,-8870.45,-0.5476,16,37.5,1.108,174.13,0.1088
5m,5.0,short only,Percent,1.5,78,23.08,0.712,-2813.06,-0.3606,5,20.0,0.399,-386.14,-0.7723
5m,5.0,both,Percent,3.0,187,33.16,0.571,-16322.92,-0.8729,19,47.37,0.919,-205.95,-0.1084
5m,5.0,long only,Percent,3.0,129,31.78,0.537,-12702.67,-0.9847,15,46.67,0.93,-152.01,-0.1013
5m,5.0,short only,Percent,3.0,58,36.21,0.66,-3620.24,-0.6242,4,50.0,0.851,-53.94,-0.1349
5m,5.0,both,Percent,5.0,155,44.52,0.588,-15740.87,-1.0155,19,47.37,0.626,-1398.2,-0.7359
5m,5.0,long only,Percent,5.0,103,44.66,0.565,-12004.86,-1.1655,15,46.67,0.567,-1551.31,-1.0342
5m,5.0,short only,Percent,5.0,52,44.23,0.649,-3736.01,-0.7185,4,50.0,1.988,153.11,0.3828
5m,5.0,both,Percent,8.0,138,50.72,0.591,-14099.97,-1.0217,16,56.25,0.563,-1488.14,-0.9301
